title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
.NET Developer,https://www.naukri.com/job-listings-net-developer-ibn-technologies-pune-maharashtra-2-to-7-years-310124006875,https://img.naukimg.com/logo_images/groups/v1/4600965.gif,IBN Technologies,https://www.naukri.com/ibn-technologies-jobs-careers-31986,https://www.ambitionbox.com/reviews/ibn-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,63  Reviews,,2.5-4 Lacs PA,,"Qualifications and Skills: . Bachelors degree in Computer Science, Information Technolo...",Web API development,C# programming,.NET Core,Version control systems,ASP.NET MVC,Entity Framework,SQL Server,Front-end technologies,Few Hours Ago
O365 Administrator,https://www.naukri.com/job-listings-o365-administrator-systems-plus-solutions-pvt-ltd-pune-5-to-7-years-300124500174,,Systems Plus Solutions Pvt Ltd,https://www.naukri.com/systems-plus-solutions-jobs-careers-1838580,https://www.ambitionbox.com/reviews/systems-plus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.5,261  Reviews,5-7 Yrs,Not disclosed,Pune,". Proficiency with O365 Suite of Tools includingcore office products: Office, Teams, Sh...",Administration Manager,Consulting,Active directory,DNS,Customer service,Windows,microsoft,Operations,1 Day Ago
Network Security & Systems Engineer,https://www.naukri.com/job-listings-network-security-systems-engineer-systems-plus-solutions-pvt-ltd-pune-8-to-10-years-300124500172,,Systems Plus Solutions Pvt Ltd,https://www.naukri.com/systems-plus-solutions-jobs-careers-1838580,https://www.ambitionbox.com/reviews/systems-plus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.5,261  Reviews,8-10 Yrs,Not disclosed,Pune,"Bachelor s Degree preferred, orequivalent combination of education, training and experi...",Patch management,Cloud computing,remediation,Event management,Information security,Active directory,Network security,Antivirus,1 Day Ago
L1 Service Desk Support,https://www.naukri.com/job-listings-l1-service-desk-support-systems-plus-solutions-pvt-ltd-pune-2-to-3-years-300124500166,,Systems Plus Solutions Pvt Ltd,https://www.naukri.com/systems-plus-solutions-jobs-careers-1838580,https://www.ambitionbox.com/reviews/systems-plus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.5,261  Reviews,2-3 Yrs,Not disclosed,Pune,Open to work for 24X7 Rotational Shifts (Any Regional Support - US/ EMEA / APAC) . Open...,Ticketing,CA service desk,Helpdesk,Active directory,Support services,Customer service,Troubleshooting,JIRA,1 Day Ago
IT GRC/Security Manager,https://www.naukri.com/job-listings-it-grc-security-manager-systems-plus-solutions-pvt-ltd-pune-10-to-15-years-300124500165,,Systems Plus Solutions Pvt Ltd,https://www.naukri.com/systems-plus-solutions-jobs-careers-1838580,https://www.ambitionbox.com/reviews/systems-plus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.5,261  Reviews,10-15 Yrs,Not disclosed,Pune,"Bachelor s degree in computer science, Information Security, or related field preferred...",Computer science,remediation,IT risk,Team management,Analytical,Information security,ISO 27001,Risk management,1 Day Ago
Interface Application Support Engineer II,https://www.naukri.com/job-listings-interface-application-support-engineer-ii-systems-plus-solutions-pvt-ltd-pune-5-to-7-years-300124500164,,Systems Plus Solutions Pvt Ltd,https://www.naukri.com/systems-plus-solutions-jobs-careers-1838580,https://www.ambitionbox.com/reviews/systems-plus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.5,261  Reviews,5-7 Yrs,Not disclosed,Pune,"Bachelor s equivalent in Computer Science, InformationSystems, or equivalent . This pos...",Automation,Application support,Linux,JBoss,Coding,Agile,Middleware,Monitoring,1 Day Ago
Linux and Ceph Administrator,https://www.naukri.com/job-listings-linux-and-ceph-administrator-mahity-systems-pune-maharashtra-2-to-7-years-300124010139,,Mahity Systems,https://www.naukri.com/mahity-systems-jobs-careers-123984024,,,,2-7 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",Job Title: Linux and Ceph AdministratorJob Location- PuneJob OverviewWe are seeking a ...,virtualization,Ceph storage,network protocols,Linux,Storage Solutions,VMware,KVM,DNS,1 Day Ago
IT Process Coordinator,https://www.naukri.com/job-listings-it-process-coordinator-remunance-services-pune-maharashtra-1-to-3-years-300124009417,,Remunance Services,https://www.naukri.com/remunance-services-jobs-careers-123652059,https://www.ambitionbox.com/reviews/remunance-services-private-limited-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,22  Reviews,1-3 Yrs,Not disclosed,"Pune, Maharashtra","PREFERRED SKILLS. Work with HR, finance and IT to maintain and improve the HRIS, includ...",Zoho Creator,Process Automation,zoho developer,Zoho Analytics,Process Management,Zoho,Analytics,Development,1 Day Ago
Network Architect,https://www.naukri.com/job-listings-network-architect-prithvi-technologies-pune-maharashtra-10-to-15-years-300124009158,,Prithvi Technologies,https://www.naukri.com/prithvi-technologies-jobs-careers-6318032,,,,10-15 Yrs,Not disclosed,"Pune, Maharashtra",Experience in DDI / MFA Solution is desirableExperience leading technology and service ...,Wireless,Cisco,Ddi,Ise,Network Architecture,Azure Cloud,AWS,Cloud,1 Day Ago
Technical Project Manager - Healthcare and OTT,https://www.naukri.com/job-listings-technical-project-manager-healthcare-and-ott-digital-convergence-technologies-pune-7-to-11-years-300124007796,,Digital Convergence Technologies,https://www.naukri.com/digital-convergence-technologies-jobs-careers-1520676,https://www.ambitionbox.com/reviews/digital-convergence-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,30  Reviews,7-11 Yrs,Not disclosed,Pune,Technical Background: Strong technical knowledge and experience in media-related techno...,Agile,Technical Projec Management,Scrum,Software development methodologies,PMP,Project Management,project development,IT Project Management,1 Day Ago
Team Lead - Ad Operations,https://www.naukri.com/job-listings-team-lead-ad-operations-digital-convergence-technologies-pune-maharashtra-5-to-10-years-300124007240,,Digital Convergence Technologies,https://www.naukri.com/digital-convergence-technologies-jobs-careers-1520676,https://www.ambitionbox.com/reviews/digital-convergence-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,30  Reviews,5-10 Yrs,6-12 Lacs PA,Remote,Responsibilities - . Must be strong in executing campaigns through GAM and other simila...,Google Ad Manager,GAM,Ad Trafficking,ad campaigning,Ad Operations,Campaign Management,DV360,Team leading,1 Day Ago
Senior Specialist Software Architect - Cyber Security,https://www.naukri.com/job-listings-senior-specialist-software-architect-cyber-security-nice-cxone-pune-10-to-13-years-290124502394,https://img.naukimg.com/logo_images/groups/v1/4849913.gif,inContact,https://www.naukri.com/incontact-jobs-careers-3995596,,,,10-13 Yrs,Not disclosed,Pune,Requirements (10+ years in similar positions): . Bachelors degree in computer science o...,Computer science,remediation,Linux,Coding,Testing tools,Information security,Configuration management,Vulnerability,1 Day Ago
Senior Software Engineer- Senior IBMi BPCS Developer/Lead,https://www.naukri.com/job-listings-senior-software-engineer-senior-ibmi-bpcs-developer-lead-integrative-systems-pune-maharashtra-7-to-12-years-290124006866,,Integrative Systems,https://www.naukri.com/integrative-systems-jobs-careers-1130032,https://www.ambitionbox.com/reviews/integrative-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31  Reviews,7-12 Yrs,Not disclosed,Remote,Minimum Bachelors Graduate in Engineering or equivalent12 years of total experience on ...,Bpcs,DB2/400,AS400,RPG,CL,ISERIES,CLLE,Development,1 Day Ago
Security Analyst (Pen Tester),https://www.naukri.com/job-listings-security-analyst-pen-tester-vertiv-group-corp-pune-3-to-6-years-230124501534,https://img.naukimg.com/logo_images/groups/v1/191756.gif,Emerson Network Power,https://www.naukri.com/emerson-network-power-jobs-careers-307175,https://www.ambitionbox.com/reviews/vertiv-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,683  Reviews,3-6 Yrs,Not disclosed,Pune,"Support product certification processA Bachelor s Degree in Information Technology, Com...",Computer science,Automation,OWASP,Security testing,Application development,Application security,Cryptography,Security operations,7 Days Ago
Application support specialist,https://www.naukri.com/job-listings-application-support-specialist-vertiv-group-corp-pune-4-to-6-years-230124501492,https://img.naukimg.com/logo_images/groups/v1/191756.gif,Emerson Network Power,https://www.naukri.com/emerson-network-power-jobs-careers-307175,https://www.ambitionbox.com/reviews/vertiv-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,683  Reviews,4-6 Yrs,Not disclosed,Pune,"This role is part of the Operations team that will manage the Monitoring, Incident, ...",Computer science,Application support,Content management,digital content,Enterprise architecture,IT security,international travel,Overhauling,7 Days Ago
Sr Manager - Customer Service Operations,https://www.naukri.com/job-listings-sr-manager-customer-service-operations-tata-communications-ltd-pune-8-to-10-years-230124500565,https://img.naukimg.com/logo_images/groups/v1/230364.gif,Tata Communications,https://www.naukri.com/tata-communications-jobs-careers-961,https://www.ambitionbox.com/reviews/tata-communications-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,2981  Reviews,8-10 Yrs,Not disclosed,Pune,Need to have extensive experience in Checkpoint MDS and Checkpoint MLM /FortiGat...,Change management,VPN,VLAN,CCNA,cisco,IPS,Technical support,Monitoring,7 Days Ago
Windows Admin,https://www.naukri.com/job-listings-windows-admin-cybage-pune-maharashtra-3-to-5-years-220124903014,https://www.naukri.com/hotjobs/images/v3/Software_nov20.gif,Cybage,https://www.naukri.com/cybage-jobs-careers-2065,https://www.ambitionbox.com/reviews/cybage-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1631  Reviews,3-5 Yrs,Not disclosed,"Pune, Maharashtra",Experience in handling 24x7 Service Desk support managing L1 and L2 teamGood exposure o...,Service Desk support,Jira service desk,Service Desk,Windows Admin,Incident Management,Service Now,change Management,problem Management,9 Days Ago
AWS Cloud Migration Specialist,https://www.naukri.com/job-listings-aws-cloud-migration-specialist-cybage-pune-maharashtra-7-to-11-years-220124902248,https://www.naukri.com/hotjobs/images/v3/Software_nov20.gif,Cybage,https://www.naukri.com/cybage-jobs-careers-2065,https://www.ambitionbox.com/reviews/cybage-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1631  Reviews,7-11 Yrs,Not disclosed,"Pune, Maharashtra",. 7+ Years of experience into AWS Cloud Migration and team handlingAWS migration hands-...,AWS Cloud Migration,Team Handling,VMware,Citrix,Azure AD,Handling,Cloud,Migration,9 Days Ago
Executive   Sr. Executive   AM - IT Infra,https://www.naukri.com/job-listings-executive-sr-executive-am-it-infra-cmr-green-technologies-sriperumbudur-tamil-nadu-pune-halol-3-to-5-years-190124004659,,CMR Green Technologies,https://www.naukri.com/grabapparels-hotmail-jobs-careers-1935738,https://www.ambitionbox.com/reviews/cmr-green-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,294  Reviews,3-5 Yrs,Not disclosed,"Sriperumbudur, Tamil Nadu, Pune, Halol","We are having strong presence at PAN Indialevel (North, West & South) with 13 manufactu...",server management,it hardware,it operations,lan,it infrastructure,switching,server,erp,12 Days Ago
Lead AI Developer,https://www.naukri.com/job-listings-lead-ai-developer-affinityx-pune-maharashtra-5-to-7-years-170124008716,https://img.naukimg.com/logo_images/groups/v1/514118.gif,AffinityX,https://www.naukri.com/affinityx-jobs-careers-3122282,https://www.ambitionbox.com/reviews/affinity-express-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.2,492  Reviews,5-7 Yrs,10-15 Lacs PA,Remote,Permanent Work from Home opportunity (WFH)Preferred candidate profile . Bachelors or ad...,Python,Cnn,PyTorch,Rnn,scikit-learn,google cloud,Neural Networks,NLP Techniques,13 Days Ago
FULL Stack Developer,https://www.naukri.com/job-listings-full-stack-developer-affinityx-pune-maharashtra-3-to-7-years-170124008245,https://img.naukimg.com/logo_images/groups/v1/514118.gif,AffinityX,https://www.naukri.com/affinityx-jobs-careers-3122282,https://www.ambitionbox.com/reviews/affinity-express-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.2,492  Reviews,3-7 Yrs,Not disclosed,Remote,Permanent Work from Home Preferred candidate profile,JavaScript,CSS,Drupal,Wix,Wordpress,HTML,Shopify,php framework,13 Days Ago
Hiring For Cloud Azure Architect @ Pune,https://www.naukri.com/job-listings-hiring-for-cloud-azure-architect-pune-nihilent-pune-maharashtra-9-to-14-years-170124004373,https://img.naukimg.com/logo_images/groups/v1/675066.gif,Nihilent,https://www.naukri.com/nihilent-jobs-careers-10850,https://www.ambitionbox.com/reviews/nihilent-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,432  Reviews,9-14 Yrs,Not disclosed,"Pune, Maharashtra",Overview We are seeking a skilled and experienced Azure Solution Architect to join our...,Networking,Azure Cloud,Cloud Security,SAAS,PAAS,windows on perm,Cloud Azure,Microsoft Windows,14 Days Ago
Pega Marketing - Support L2,https://www.naukri.com/job-listings-pega-marketing-support-l2-vois-pune-6-to-8-years-140124001097,https://www.naukri.com/hotjobs/images/v3/Voda_Sept23.gif,_VOIS,https://www.naukri.com/vois-jobs-careers-539,https://www.ambitionbox.com/reviews/vodafone-intelligent-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,446  Reviews,6-8 Yrs,9-15 Lacs PA,Hybrid - Pune,"About _VOIS India:In 2009, _VOIS started operating in India and now has established gl...",Unix,L2,Pega Marketing,Pega PRPC,SQL,PRPC,Pega Rules Process Commander,Application Support,17 Days Ago
Automation Tester Specialist || Immediate To 1 Month,https://www.naukri.com/job-listings-automation-tester-specialist-immediate-to-1-month-coforge-pune-maharashtra-6-to-10-years-111223003842,https://img.naukimg.com/logo_images/groups/v1/233334.gif,Coforge,https://www.naukri.com/coforge-jobs-careers-24468,https://www.ambitionbox.com/reviews/coforge-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,3777  Reviews,6-10 Yrs,Not disclosed,"Pune, Maharashtra",Job Title: Automation Test specialist. . Experience- 0 - 0 years. Location- Pune. . Mod...,Postman Api,Cucumber Testing,Selenium Webdriver,Automation Testing,Functional Testing,XML,Spring Boot,JSON,15 Days Ago
Product Support Analyst,https://www.naukri.com/job-listings-product-support-analyst-varstreet-pune-4-to-8-years-111022000108,https://img.naukimg.com/logo_images/groups/v1/4700493.gif,Varstreet,https://www.naukri.com/varstreet-jobs-careers-123520569,https://www.ambitionbox.com/reviews/varstreet-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,11  Reviews,4-8 Yrs,Not disclosed,Hybrid - Pune,Prior application/ support experience required. Ability to communicate effectively with...,Customer Support,product support,application support,Technical Support,communication skills,Customer Service,Customer Care,Technical,Today
Cybage is hiring For Technical Support in Pune,https://www.naukri.com/job-listings-cybage-is-hiring-for-technical-support-in-pune-cybage-pune-maharashtra-0-to-3-years-100124009655,https://www.naukri.com/hotjobs/images/v3/Software_nov20.gif,Cybage,https://www.naukri.com/cybage-jobs-careers-2065,https://www.ambitionbox.com/reviews/cybage-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1631  Reviews,0-3 Yrs,Not disclosed,"Pune, Maharashtra",on any ticketing tool. . 4) Must be comfortable to work into 24x7 night shifts An ISO 2...,CSS,Technical Support,Javascript,HTML,Communication Skills,Comm,Technical,Cs,20 Days Ago
