title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Java Technical Manager,https://www.naukri.com/job-listings-java-technical-manager-xoriant-pune-maharashtra-mumbai-all-areas-11-to-15-years-110124010731,https://img.naukimg.com/logo_images/groups/v1/2436002.gif,Xoriant,https://www.naukri.com/xoriant-jobs-careers-71554,https://www.ambitionbox.com/reviews/xoriant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1366  Reviews,11-15 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Mumbai (All Areas)","PMP or Prince2 certification Must HaveMinimum 10 years, hands-on, technology experience...",Project manager,java,scrum,fullstack,technical manager,angular,pmp,Technical,19 Days Ago
Project Co-Ordinator,https://www.naukri.com/job-listings-project-co-ordinator-lingaro-group-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-150124501250,,Lingaro Sp Z Oo,https://www.naukri.com/lingaro-sp-z-oo-jobs-careers-6339360,https://www.ambitionbox.com/reviews/lingaro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,7  Reviews,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Requirements: . Must have: . Willingness to learn and acquire news skills (also technic...,Procurement,Training,Excel,Project management,Analytical,Cloud,CMS,Manager Technology,15 Days Ago
Scrum Master,https://www.naukri.com/job-listings-scrum-master-miratech-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-150124501235,,Miratech,https://www.naukri.com/miratech-jobs-careers-6371884,https://www.ambitionbox.com/reviews/miratech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.7,6  Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Bachelors degree or higher from an accredited college / university 4+ years of experi...,Business process,Team management,Agile,Manager Technology,Scrum,Agile methodology,Scope management,Management,15 Days Ago
Associate Manager - Scrum Master,https://www.naukri.com/job-listings-associate-manager-scrum-master-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-7-to-10-years-150124500160,https://img.naukimg.com/logo_images/groups/v1/1713408.gif,Tredence,https://www.naukri.com/tredence-jobs-careers-1360722,https://www.ambitionbox.com/reviews/tredence-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,311  Reviews,7-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",You will be leading 2-3 scrum teams across a vertical and helping them adopt the agi...,Data management,agile project management,Business analytics,Machine learning,Scrum,data visualization,MS Office,Data mining,15 Days Ago
Project Manager INFRA,https://www.naukri.com/job-listings-project-manager-infra-simple-logic-it-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-7-years-120124500586,,Simple Logic It,https://www.naukri.com/simple-logic-it-jobs-careers-1027176,https://www.ambitionbox.com/reviews/simple-logic-it-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,84  Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The candidate needs to have team management and project management experienceThe candid...,Oracle database,ITIL certified,Team management,RAC,Project management,Weblogic,Infrastructure,Oracle DBA,18 Days Ago
Technical Program Manager,https://www.naukri.com/job-listings-technical-program-manager-microsoft-india-r-and-d-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-11-years-120124500349,https://img.naukimg.com/logo_images/groups/v1/614576.gif,Microsoft,https://www.naukri.com/microsoft-jobs-careers-2265,https://www.ambitionbox.com/reviews/microsoft-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1372  Reviews,8-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","In partnership with the Azure HPC & AI compute platform team, we are on a mission ...",Computer science,FPGA,SOC,Machine learning,Engineering Manager,Firmware,microsoft,Gaming,18 Days Ago
Project Consultant GIS,https://www.naukri.com/job-listings-project-consultant-gis-arcadis-consulting-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-7-to-10-years-090124501225,https://img.naukimg.com/logo_images/groups/v1/2016600.gif,Arcadis Consulting India Pvt. Ltd,https://www.naukri.com/arcadis-jobs-careers-457491,https://www.ambitionbox.com/reviews/arcadis-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,183  Reviews,7-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Providing GIS analysis, spatial data management and map production.   Delivery o...",GIS,Manager Quality Assurance,Publishing,Data management,CAD,Data collection,Manager Technology,Windows,21 Days Ago
Project Manager,https://www.naukri.com/job-listings-project-manager-koantek-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-12-years-040124502050,,Koantek,https://www.naukri.com/koantek-jobs-careers-123676157,https://www.ambitionbox.com/reviews/koantek-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,29  Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Experience of industry project management techniques including agile project delivery i...,IT services,SAN,PDF,Talent acquisition,Project management,SMS,Account management,Project delivery,26 Days Ago
Delivery Manager / Project Manager,https://www.naukri.com/job-listings-delivery-manager-project-manager-cloudthing-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-15-years-110124500099,https://img.naukri.com/logo_images/v3/3125118.gif,Cloudthing,https://www.naukri.com/cloudthing-jobs-careers-3016344,https://www.ambitionbox.com/reviews/cloudthing-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,21  Reviews,8-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",This role demands 3 days of work from the office every week and occasional out-of-ho...,Operating systems,data science,Project management,Agile,Microsoft Dynamics,Management,CRM,Recruitment,19 Days Ago
SAP Project Manager,https://www.naukri.com/job-listings-sap-project-manager-reqroots-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-12-years-100124501417,,Reqroots,https://www.naukri.com/reqroots-jobs-careers-5470398,https://www.ambitionbox.com/reviews/reqroots-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.6,8  Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Knowledge on Project execution Process . Should be willing to travel and should be comm...,SAP,Web technologies,HR,Project Manager Sap,Project execution,SAP project management,Project management,Hrsd,20 Days Ago
