title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Trims : Automotive : Design Engineer,https://www.naukri.com/job-listings-trims-automotive-design-engineer-tech-mahindra-chennai-4-to-9-years-180124004532,https://img.naukimg.com/logo_images/groups/v1/2114.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,4-9 Yrs,Not disclosed,Chennai,Should be available to take up the virtual teams video interview Should have good worki...,Instrument Panel,Interior Trims,Trims,Exterior Trims,catia,Catia V5,Instruments,Interiors,13 Days Ago
BIW : Automotive Design,https://www.naukri.com/job-listings-biw-automotive-design-tech-mahindra-chennai-4-to-9-years-180124004517,https://img.naukimg.com/logo_images/groups/v1/2114.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,4-9 Yrs,Not disclosed,Chennai,Work Location: Chennai . Should be available to take up the virtual teams video intervi...,Biw,catia,Catia V5,Body Design,Gsd,Surfacing,Automotive Design,Design,13 Days Ago
Vehicle Integration: Automotive Design,https://www.naukri.com/job-listings-vehicle-integration-automotive-design-tech-mahindra-chennai-4-to-9-years-180124004497,https://img.naukimg.com/logo_images/groups/v1/2114.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,4-9 Yrs,Not disclosed,Chennai,Should be available to take up the virtual teams video interview. Notice Period : Immed...,Vehicle Integration,catia,Catia V5,Integration,Automotive,Automotive Design,Design,Vehicle,13 Days Ago
Design Engineer,https://www.naukri.com/job-listings-design-engineer-siemens-limited-thane-1-to-5-years-170124501889,https://img.naukimg.com/logo_images/groups/v1/40604.gif,Siemens,https://www.naukri.com/siemens-jobs-careers-73816,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,4154  Reviews,1-5 Yrs,Not disclosed,Thane,"Extensive Technical Knowledge - Expert in Fire Alarm, VESDA, GBFSS, ACS IP based CCTV...",Fire alarm system,System architecture,Interpersonal skills,Management systems,CAD,Siemens,Packaging,Instrumentation,13 Days Ago
Research & Operations Role - Info Edge,https://www.naukri.com/job-listings-research-operations-role-info-edge-info-edge-noida-0-to-2-years-170124005537,https://img.naukimg.com/logo_images/groups/v1/124792.gif,Info Edge,https://www.naukri.com/info-edge-jobs-careers-1407,https://www.ambitionbox.com/reviews/info-edge-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,1624  Reviews,0-2 Yrs,1.5-2.25 Lacs PA,Noida,Day Shifts and Fixed Timing (9:30 to 10:30) should be well-versed in process qualityJob...,Research And Development,Business Research,Company Research,Research Analysis,Competitive Intelligence,Industry Research,Company Analysis,Report Writing,14 Days Ago
Lab Trainee,https://www.naukri.com/job-listings-lab-trainee-lifecell-chennai-0-to-2-years-161023005229,https://www.naukri.com/hotjobs/images/v3/lifecell_apr19.gif,Lifecell,https://www.naukri.com/lifecell-jobs-careers-84477,https://www.ambitionbox.com/reviews/lifecell-international-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,536  Reviews,0-2 Yrs,"50,000-2.25 Lacs PA",Chennai,Company Location: KelambakkamCandidates Should have - Bachelors in Biology degree,Cell Culture,Culture,Cell,Training,Lab,,,,22 Days Ago
Research Analyst,https://www.naukri.com/job-listings-research-analyst-jacobs-gurgaon-gurugram-5-to-7-years-160124501777,https://img.naukimg.com/logo_images/groups/v1/4604773.gif,Jacobs,https://www.naukri.com/jacobs-jobs-careers-35922,https://www.ambitionbox.com/reviews/jacobs-engineering-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,804  Reviews,5-7 Yrs,Not disclosed,Gurgaon/Gurugram,. We are looking to hire a Research Analyst with over 5 years of experience for Strateg...,Social media,Consulting,Market research,Project appraisal,Research Analyst,MS Office,Secondary research,Monitoring,14 Days Ago
Process Engineer,https://www.naukri.com/job-listings-process-engineer-brunel-india-pvt-ltd-chennai-10-to-12-years-160124501009,https://img.naukimg.com/logo_images/groups/v1/2532494.gif,Brunel,https://www.naukri.com/brunel-jobs-careers-194933,https://www.ambitionbox.com/reviews/brunel-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,96  Reviews,10-12 Yrs,Not disclosed,Chennai,. Graduate Chemical Engineers having experience in Basic Engineering / Front End Engine...,Process design,Front end,Chemical,LNG,EPC,Engineering Design,Refinery,Petrochemical,15 Days Ago
Research Assistant,https://www.naukri.com/job-listings-research-assistant-shiv-nadar-university-greater-noida-uttar-pradesh-0-to-2-years-160124007575,https://img.naukimg.com/logo_images/groups/v1/1813342.gif,Shiv Nadar University,https://www.naukri.com/shiv-nadar-university-jobs-careers-2372118,https://www.ambitionbox.com/reviews/shiv-nadar-university-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,79  Reviews,0-2 Yrs,3 Lacs PA,"Greater Noida, Uttar Pradesh",The RA job involves conducting the research on an alloted research topic in Shiv Nadar ...,Chemical Engineering,Petroleum Engineering,Food Technology,bioenergy,Polymer,Renewable Energy,Biomass,Technology,14 Days Ago
CFD Engineer_IC3,https://www.naukri.com/job-listings-cfd-engineer-ic3-renew-power-gurugram-2-to-4-years-160124005445,https://img.naukimg.com/logo_images/groups/v1/4622859.gif,ReNew Power,https://www.naukri.com/renew-power-jobs-careers-1123830,https://www.ambitionbox.com/reviews/renew-solar-power-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,761  Reviews,2-4 Yrs,Not disclosed,Gurugram,About Company      Job Description   About the role: Carry out advanced wind flow mo...,cfd,matlab,solar energy,project management,due diligence,data analysis,aerodynamics,computational fluid dynamics,15 Days Ago
