title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Design,https://www.naukri.com/job-listings-design-yogeshwar-engineering-pvt-ltd-nasik-nashik-ambad-midc-1-to-3-years-180124911048,,Yogeshwar Engineering Pvt. Ltd.,https://www.naukri.com/carbide-india-jobs-careers-1455674,https://www.ambitionbox.com/reviews/yogeshwar-engineering-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,6  Reviews,1-3 Yrs,Not disclosed,"Nasik/Nashik, Ambad MIDC",Tool design Experience Hand on experience on software like AutoCAD 2D and 3D,Auto Cad,Design,3D,2D drawings,Auto Cad 2D,CAD,Drawing,AutoCAD 2D,12 Days Ago
Artist,https://www.naukri.com/job-listings-artist-kotik-foundation-jaipur-1-to-3-years-180124500953,,Kotik Foundation,https://www.naukri.com/kotik-foundation-jobs-careers-7043967,,,,1-3 Yrs,Not disclosed,Jaipur,"Send your bar council certification . After shortlisting, our executive will call back ...",Computer science,Training,Counsellor,Interpersonal skills,Career counselling,Skill development,Senior Executive,Social media,12 Days Ago
Web Designer And Graphic Designer,https://www.naukri.com/job-listings-web-designer-and-graphic-designer-greensoft-solution-new-delhi-delhi-2-to-3-years-180124006541,,Greensoft Solution,https://www.naukri.com/greensoft-solution-jobs-careers-769670,https://www.ambitionbox.com/reviews/greensoft-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,2  Reviews,2-3 Yrs,2-3 Lacs PA,"New Delhi, Delhi",MUST HAVE AT LEAST 1 YEAR EXPERIENCE IN WEB DESIGNING. MUST HAVE A SKILL SET IN DIGITAL...,Web Design And Development,CSS,PHOTOSHOP,Graphic Designing,Jquery Programming,Java Script Ajax,Digital Marketing,HTML,13 Days Ago
Project Architect,https://www.naukri.com/job-listings-project-architect-consulting-engineers-group-ceg-ludhiana-punjab-10-to-20-years-170124009559,https://img.naukimg.com/logo_images/groups/v1/4588573.gif,Consulting Engineers Group (CEG),https://www.naukri.com/consulting-engineers-group-ceg-jobs-careers-140026,https://www.ambitionbox.com/reviews/consulting-engineers-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,364  Reviews,10-20 Yrs,Not disclosed,"Ludhiana, Punjab",. B Arch,Sketchup,Architecture,Commercial Buildings,punjab,metro,revit,shopping mall,railway,13 Days Ago
UX Designer,https://www.naukri.com/job-listings-ux-designer-kimbal-technologies-new-delhi-delhi-delhi-ncr-2-to-6-years-160124007350,,Kimbal Technologies,https://www.naukri.com/crystal-power-jobs-careers-3416118,https://www.ambitionbox.com/reviews/crystal-power-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1.6,6  Reviews,2-6 Yrs,Not disclosed,"New Delhi, Delhi, Delhi / NCR","Documentation: Develop and maintain design documentation, style guides, and design syst...",Prototyping,Ux Design,User Experience Design,Wireframing,,,,,14 Days Ago
UI UX and Graphic Designer,https://www.naukri.com/job-listings-ui-ux-and-graphic-designer-nsight-consulting-group-pvt-ltd-gurugram-haryana-3-to-5-years-160124005312,,NSIGHT Consulting Group Pvt Ltd,https://www.naukri.com/n-sight-consulting-group-jobs-careers-124062282,https://www.ambitionbox.com/reviews/n-sight-consulting-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3,4  Reviews,3-5 Yrs,Not disclosed,"Gurugram, Haryana",UI/UX AND GRAPHIC DESIGNERWHAT YOULL DOUser Interface Design: Develop intuitive and eng...,Ui And Ux,UX,Figma,Ui Ux Development,Illustrator,Photoshop,Xd,Adobe Creative Suite,15 Days Ago
Video Editor,https://www.naukri.com/job-listings-video-editor-hellinex-futuretech-kolkata-0-to-1-years-090124500888,,Hellinex Futuretech,https://www.naukri.com/hellinex-futuretech-jobs-careers-123706807,https://www.ambitionbox.com/reviews/hellinex-futuretech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,2.2,4  Reviews,0-1 Yrs,Not disclosed,Kolkata,Reviewing raw material to determine the shot list.   Maintaining continuity while mov...,Graphics,Consulting,Video Editor,Broadcasting,Director,Raw material,Video,Editing,21 Days Ago
Graphic Desginer,https://www.naukri.com/job-listings-graphic-desginer-hellinex-futuretech-kolkata-0-to-1-years-090124500887,,Hellinex Futuretech,https://www.naukri.com/hellinex-futuretech-jobs-careers-123706807,https://www.ambitionbox.com/reviews/hellinex-futuretech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,2.2,4  Reviews,0-1 Yrs,Not disclosed,Kolkata,Planning concepts by studying relevant information and materials.   Illustrating conc...,Graphics,Web technologies,Illustrator,Photoshop,,,,,21 Days Ago
Bim Engineer/ Architect,https://www.naukri.com/job-listings-bim-engineer-architect-techinterio-noida-0-to-1-years-060423005527,,Techinterio,https://www.naukri.com/techinterio-jobs-careers-123756197,https://www.ambitionbox.com/reviews/techinterio-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,20  Reviews,,Not disclosed,,Industry Type:- Architecture / Interior Design . Functional Area:- Interior Design & Ar...,Bim,REVIT,Sketchup,Bim Engineer,interior designing,Bim Modeler,AutoCAD,REVIT Architecture,25 Days Ago
Game Designer,https://www.naukri.com/job-listings-game-designer-effe-studios-pvt-ltd-ahmedabad-0-to-4-years-040124501753,,Effe Studios,https://www.naukri.com/effe-studios-jobs-careers-124048006,,,,0-4 Yrs,Not disclosed,Ahmedabad,You can be an experienced individual or a fresher or a student looking for internship i...,Game Designer,Game Design,Design,Gaming,Games,,,,26 Days Ago
Jr. UI/UX Designer (High-Fidelity Wireframe Designer),https://www.naukri.com/job-listings-jr-ui-ux-designer-high-fidelity-wireframe-designer-southern-travels-pvt-ltd-delhi-ncr-0-to-2-years-040124005912,,Southern Travels Pvt. Ltd.,https://www.naukri.com/southern-grand-hotels-jobs-careers-4729772,https://www.ambitionbox.com/reviews/southern-grand-hotels-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,0-2 Yrs,Not disclosed,Delhi / NCR,Candidates who wants to join us as "Intern" are also welcome!!Key Responsibilities:1. ...,Wireframe,UI/UX Designer,Figma,Prototype,Prototyping,Stakeholder Management,UX Design,Design,27 Days Ago
Graphic Designer,https://www.naukri.com/job-listings-graphic-designer-arissa-india-hyderabad-secunderabad-ahmedabad-eluru-1-to-6-years-150124501532,,Arissa India,https://www.naukri.com/arissa-india-jobs-careers-4985718,https://www.ambitionbox.com/reviews/arissa-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,1-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Ahmedabad, Eluru",Minimum Experience: 1 year  . Should be good in oral written communication to interact ...,Outbound,Data analysis,Networking,Project management,Market research,Troubleshooting,MS Office,SEO,15 Days Ago
Associate Visual Designer,https://www.naukri.com/job-listings-associate-visual-designer-technoidentity-solutions-pvt-ltd-hyderabad-secunderabad-3-to-5-years-150124500651,,TechnoIdentity,https://www.naukri.com/technoidentity-jobs-careers-757483,https://www.ambitionbox.com/reviews/technoidentity-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,37  Reviews,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Qualifications: . Bachelors degree in Multimedia Design, Graphic Design, or arelated fi...",Graphics,Graphic designing,PDF,Email marketing,Illustrator,adobe creative suite,Social media,Video editing,15 Days Ago
Staff UX Researcher,https://www.naukri.com/job-listings-staff-ux-researcher-service-now-planet-hyderabad-secunderabad-7-to-9-years-120124500529,,Service Now Planet,https://www.naukri.com/service-now-planet-jobs-careers-3114516,https://www.ambitionbox.com/reviews/snow-planet-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,7-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Represent the needs of customers across the product and design lifecycle from disc...,Product management,Qualitative research,User interface designing,Design validation,Interaction design,Data collection,Enterprise software,Usability testing,18 Days Ago
Staff Product Designer,https://www.naukri.com/job-listings-staff-product-designer-service-now-planet-hyderabad-secunderabad-7-to-9-years-120124500527,,Service Now Planet,https://www.naukri.com/service-now-planet-jobs-careers-3114516,https://www.ambitionbox.com/reviews/snow-planet-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,7-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Experience participating in the complete product development lifecycle of web and / or ...,Product management,Basic,Web technologies,Corporate,Workflow,Product design,Research,User experience design,18 Days Ago
Senior Product Designer,https://www.naukri.com/job-listings-senior-product-designer-service-now-planet-hyderabad-secunderabad-5-to-7-years-120124500517,,Service Now Planet,https://www.naukri.com/service-now-planet-jobs-careers-3114516,https://www.ambitionbox.com/reviews/snow-planet-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad,You get to develop innovative design solutions and world-class product experiences ...,Product management,Basic,Web technologies,Corporate,Tool design,Product design,Research,User experience design,18 Days Ago
Graphic Designer,https://www.naukri.com/job-listings-graphic-designer-inopen-technologies-hyderabad-secunderabad-2-to-3-years-120124500049,,InOpen,https://www.naukri.com/inopen-jobs-careers-548747,,,,2-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Degree, B.Tech (Proven 2+experience) as a Graphic Designer, with a strong portf...",Printing,Software design,User interface designing,Illustrator,adobe creative suite,Packaging,Tool design,Mobile applications,18 Days Ago
Graphic Designer,https://www.naukri.com/job-listings-graphic-designer-inopen-technologies-hyderabad-secunderabad-1-to-3-years-120124500048,,InOpen,https://www.naukri.com/inopen-jobs-careers-548747,,,,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Degree, BTech (Proven 1+ years experience) as a Graphic Designer, with a strong portfol...",Printing,Software design,User interface designing,Illustrator,adobe creative suite,Packaging,Tool design,Mobile applications,18 Days Ago
Sr. Product Designer,https://www.naukri.com/job-listings-sr-product-designer-highspot-hyderabad-secunderabad-3-to-7-years-100124501238,,Highspot,https://www.naukri.com/highspot-jobs-careers-123905861,,,,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"This candidate should have a passion for usability, accessibility, an eye for visual co...",Product management,Agile scrum,Agile development,Interaction design,Product design,Customer experience,Adobe,Enterprise software,20 Days Ago
Web Producer,https://www.naukri.com/job-listings-web-producer-micron-technology-operations-india-llp-hyderabad-secunderabad-5-to-7-years-090124908903,https://www.naukri.com/hotjobs/images/v3/micron_june18.gif,Micron,https://www.naukri.com/micron-jobs-careers-4250870,https://www.ambitionbox.com/reviews/micron-technology-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,241  Reviews,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad,We are looking for a Web producer with multi-year experience to come and join our team ...,AEM,Corporate marketing,QA development,CMS,HTML,Web designing,Asset management,SEO,22 Days Ago
