title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
RLS / Structural Design Engineer,https://www.naukri.com/job-listings-rls-structural-design-engineer-intel-technology-india-pvt-ltd-bangalore-bengaluru-6-to-8-years-160124904925,https://www.naukri.com/hotjobs/images/v3/intel_nov13.gif,Intel,https://www.naukri.com/intel-jobs-careers-234718,https://www.ambitionbox.com/reviews/intel-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,795  Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Qualifications . A Masters of Engineering degree in Electrical/ Electronic Engineering/...,Structural Design,Primetime,Red hawk,Structural Design Engineer,ICC,physical clock design,Design Complier,Perl,15 Days Ago
RLS / Structural Design Engineer,https://www.naukri.com/job-listings-rls-structural-design-engineer-intel-technology-india-pvt-ltd-bangalore-bengaluru-8-to-10-years-160124904390,https://www.naukri.com/hotjobs/images/v3/intel_nov13.gif,Intel,https://www.naukri.com/intel-jobs-careers-234718,https://www.ambitionbox.com/reviews/intel-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,795  Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Qualifications . A Masters of Engineering degree in Electrical/ Electronic Engineering/...,Structural Design,Timing closure,DFT,static timing analysis,Digital design,Perl,clock tree synthesis,Physical design,15 Days Ago
Server Platform Debug HW Architect,https://www.naukri.com/job-listings-server-platform-debug-hw-architect-intel-technology-india-pvt-ltd-bangalore-bengaluru-9-to-13-years-160124904115,https://www.naukri.com/hotjobs/images/v3/intel_nov13.gif,Intel,https://www.naukri.com/intel-jobs-careers-234718,https://www.ambitionbox.com/reviews/intel-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,795  Reviews,9-13 Yrs,Not disclosed,Bangalore/Bengaluru,Requirements listed may be obtained through a combination of industry relevant job expe...,HW Architecture,jtag,lauterbach,design validation,dfx,electrical engineering,debugging,i2c,15 Days Ago
CMOD on zOS Administrator,https://www.naukri.com/job-listings-cmod-on-zos-administrator-ibm-india-pvt-limited-kochi-cochin-bangalore-bengaluru-5-to-10-years-150124905469,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,5-10 Yrs,Not disclosed,"Kochi/Cochin, Bangalore/Bengaluru","Bachelors degree in Computer Science, Information Technology, or a related fieldProven ...",Java,Performance Optimization,System Administration,SQL,Content management,FileNet,document management,system installation,15 Days Ago
SDWAN Velocloud Professional,https://www.naukri.com/job-listings-sdwan-velocloud-professional-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-11-years-150124905452,https://www.naukri.com/hotjobs/images/v3/captech_jun20.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience on SDWAN Velocloud.Experience on Cisco (Catalyst/Nexus) Routers, Switch.Expe...",SDWAN,Network design,WAN,Network infrastructure,LAN,Middleware,cisco,Design,15 Days Ago
NAS Engineer,https://www.naukri.com/job-listings-nas-engineer-deutsche-bank-ag-bangalore-bengaluru-10-to-12-years-150124904002,https://img.naukimg.com/logo_images/groups/v1/468918.gif,Deutsche Bank,https://www.naukri.com/deutsche-bank-jobs-careers-39012,https://www.ambitionbox.com/reviews/deutsche-bank-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2798  Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Role DescriptionAs a NAS Storage Engineer, you will work with and lead other Deutsche B...",network management,PowerShell,GCP,Ansible,Perl,Performance analysis,Python,Kubernetes,15 Days Ago
Senior Engineer (RTL/FPGA System Design),https://www.naukri.com/job-listings-senior-engineer-rtl-fpga-system-design-qualcomm-technologies-inc-bangalore-bengaluru-2-to-5-years-150124501607,https://img.naukimg.com/logo_images/groups/v1/356782.gif,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-31927,https://www.ambitionbox.com/reviews/qualcomm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,764  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree in Science, Engineering, or related fieldRequired: Bachelors, Computer...",Wireless,Computer science,FPGA,SOC,Verilog,System design,System verilog,Silicon,15 Days Ago
Physical Design Engineer,https://www.naukri.com/job-listings-physical-design-engineer-qualcomm-technologies-inc-bangalore-bengaluru-3-to-5-years-150124501603,https://img.naukimg.com/logo_images/groups/v1/356782.gif,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-31927,https://www.ambitionbox.com/reviews/qualcomm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,764  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Minimum Qualifications: . Bachelors degree in Computer Science, Electrical / Electronic...",Computer science,Automation,DFT,RF,FPGA,Analog,Packaging,Physical verification,15 Days Ago
Lead Engineer (RTL/FPGA System Design),https://www.naukri.com/job-listings-lead-engineer-rtl-fpga-system-design-qualcomm-technologies-inc-bangalore-bengaluru-5-to-9-years-150124501602,https://img.naukimg.com/logo_images/groups/v1/356782.gif,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-31927,https://www.ambitionbox.com/reviews/qualcomm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,764  Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree in Science, Engineering, or related fieldRequired: Bachelors, Computer...",Wireless,Computer science,FPGA,SOC,Verilog,System design,System verilog,Silicon,15 Days Ago
PS DCX Infra Lead,https://www.naukri.com/job-listings-ps-dcx-infra-lead-schneider-electric-india-pvt-ltd-bangalore-bengaluru-4-to-7-years-150124501307,https://img.naukimg.com/logo_images/groups/v1/20302.gif,Schneider Electric,https://www.naukri.com/schneider-electric-jobs-careers-18252,https://www.ambitionbox.com/reviews/schneider-electric-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,3415  Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,The IT Infrastructure Lead is responsible for the implementation and operations of ...,Network administration,Server administration,Disaster recovery,Database administration,Account management,infrastructure services,Technical support,Monitoring,15 Days Ago
